EQ,BEL,294.2,1.36,215053.69,185.15,550.74
EQ,BEML,4075.05,-2.54,16970.34,4.15,171.38
EQ,BEPL,140.67,1.09,3500.69,7.35,10.37
EQ,BERGEPAINT,544.75,0.07,63506.74,2.61,14.26
EQ,BESTAGRO,584.85,1.96,1382.86,0.29,1.74
SM,BETA,1258.85,1.63,1210.23,0.01,0.16
SM,BEWLTD,1445.0,0.7,472.27,0.0,0.05
EQ,BFINVEST,607.0,1.63,2286.43,0.14,0.88
EQ,BFSI,23.29,0.17,279.46,1.39,0.32
EQ,BFUTILITIE,767.1,2.73,2889.48,0.74,5.7
BE,BGRENERGY,42.84,-2.01,309.14,0.59,0.25
EQ,BHAGCHEM,351.35,1.53,4372.02,0.92,3.24
EQ,BHAGERIA,168.02,2.89,733.31,0.22,0.36
EQ,BHAGYANGR,102.79,0.99,328.88,0.41,0.42
EQ,BHANDARI,7.14,3.18,116.69,4.34,0.3
EQ,BHARATFORG,1555.1,0.13,72392.81,9.17,144.24
EQ,BHARATGEAR,110.43,1.15,169.57,0.1,0.11
EQ,BHARATRAS,10767.15,0.5,4474.04,0.04,4.05
EQ,BHARATWIRE,241.0,0.31,1647.55,0.76,1.84
EQ,BHARTIARTL,1456.95,-0.6,829439.69,33.94,498.02
EQ,BHARTIHEXA,1102.1,-1.14,55105.0,4.28,47.38
EQ,BHEL,296.4,1.63,103208.36,85.22,254.53
IV,BHINVIT,106.7,0.07,4726.15,0.96,1.03
EQ,BIGBLOC,247.5,0.73,1752.0,0.51,1.27
EQ,BIKAJI,728.75,2.74,18246.6,2.69,19.58
BE,BIL,444.5,5.0,542.71,0.09,0.39
EQ,BINANIIND,15.69,1.03,49.21,0.03,0.0
EQ,BIOCON,344.8,1.29,41396.69,11.88,41.1
EQ,BIOFILCHEM,63.86,1.75,103.92,0.07,0.05
ST,BIRDYS,86.65,4.97,45.13,0.07,0.06
RR,BIRET,268.9,-0.07,12907.61,0.23,0.62
EQ,BIRLACABLE,277.6,1.28,832.8,0.87,2.44
EQ,BIRLACORPN,1473.4,1.2,11345.97,0.22,3.18
EQ,BIRLAMONEY,160.44,3.03,906.63,1.33,2.12
EQ,BLAL,294.45,0.39,1226.22,1.32,3.93
BE,BLBLIMITED,17.5,1.63,92.51,0.05,0.01
EQ,BLISSGVS,112.43,-1.11,1180.13,3.76,4.26
EQ,BLKASHYAP,103.0,1.11,2322.03,7.17,7.4
EQ,BLS,379.75,8.53,15635.86,83.91,310.44
EQ,BLSE,216.7,1.4,1968.86,7.22,15.94
BE,BLUECHIP,5.99,-2.12,33.13,0.52,0.03
EQ,BLUEDART,8200.0,3.18,19456.91,0.1,8.37
EQ,BLUEJET,513.35,-1.02,8904.85,4.73,24.89
SM,BLUEPEBBLE,260.0,-1.12,106.08,0.08,0.21
EQ,BLUESTARCO,1611.35,-0.96,33131.74,0.87,14.13
SM,BMETRICS,117.75,-0.67,72.5,0.01,0.01
EQ,BODALCHEM,79.1,1.89,995.0,4.45,3.53
EQ,BOMDYEING,223.8,6.62,4622.25,28.87,64.19
EQ,BOROLTD,370.35,2.0,4420.8,0.73,2.72
EQ,BORORENEW,509.8,-0.03,6654.82,5.91,30.37
EQ,BOROSCI,186.29,1.96,1654.19,0.7,1.31
EQ,BOSCHLTD,32600.0,0.76,96149.27,0.08,27.03
EQ,BPCL,343.45,0.51,149003.48,60.98,209.9
BE,BPL,117.65,-1.04,576.2,0.41,0.48
EQ,BRIGADE,1182.75,5.2,27336.37,8.2,98.14
SZ,BRIGHT,8.5,4.94,21.25,1.8,0.15
EQ,BRITANNIA,5827.85,2.28,140374.43,1.78,103.47
BE,BRNL,49.0,-0.53,411.36,0.05,0.03
EQ,BROOKS,104.23,3.78,273.57,0.67,0.69
EQ,BSE,2372.25,-0.64,32114.66,4.84,116.96
EQ,BSE500IETF,38.29,-1.14,271.57,11.44,4.4
EQ,BSHSL,187.38,0.02,1966.31,0.12,0.23
EQ,BSL,245.99,14.52,253.18,6.35,15.86
EQ,BSLGOLDETF,62.11,-0.18,776.89,0.23,0.15
EQ,BSLNIFTY,27.75,0.25,2599.78,2.78,0.77
EQ,BSLSENETFG,78.32,0.14,510.94,0.05,0.04
EQ,BSOFT,595.4,2.87,16450.95,35.86,214.22
BE,BTML,12.39,-2.06,154.83,0.25,0.03
ST,BULKCORP,131.0,0.77,98.43,7.39,9.79
BE,BURNPUR,7.99,-2.08,68.81,0.22,0.02
EQ,BUTTERFLY,842.0,0.2,1505.46,0.06,0.48
EQ,BVCL,64.91,2.64,143.84,0.21,0.14
BE,BYKE,80.46,-2.01,377.34,0.03,0.02
SM,CADSYS,191.0,0.45,143.3,0.08,0.15
EQ,CALSOFT,16.44,0.43,25.41,0.11,0.02
EQ,CAMLINFINE,111.58,2.57,1868.91,2.88,3.22
EQ,CAMPUS,300.4,2.23,9171.36,5.25,15.79
EQ,CAMS,3926.3,-1.62,19325.48,5.13,202.63
